sample_fp	plate	well	cycle	channel
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellB1_ChannelCY3_30p_545_Seq0005.nd2	1	B1	6	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellB1_ChannelCY5_30p_Seq0017.nd2	1	B1	6	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellB1_ChannelCY7_30p_Seq0023.nd2	1	B1	6	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellB1_ChannelA594_30p_Seq0011.nd2	1	B1	7	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellB1_ChannelCY3_30p_545_Seq0005.nd2	1	B1	7	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellB1_ChannelCY5_30p_Seq0017.nd2	1	B1	7	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellB1_ChannelCY7_30p_Seq0023.nd2	1	B1	7	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellB1_ChannelA594_30p_Seq0011.nd2	1	B1	8	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellB1_ChannelCY3_30p_545_Seq0005.nd2	1	B1	8	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellB1_ChannelCY5_30p_Seq0017.nd2	1	B1	8	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellB1_ChannelCY7_30p_Seq0023.nd2	1	B1	8	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c9/20200304_161626_510/WellB1_ChannelA594_30p_Seq0011.nd2	1	B1	9	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c9/20200304_161626_510/WellB1_ChannelCY3_30p_545_Seq0005.nd2	1	B1	9	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c9/20200304_161626_510/WellB1_ChannelCY5_30p_Seq0017.nd2	1	B1	9	CY5_30p
